time,valence,frustration,focus,excitement,lat,lon
2017-03-12T11:46:10,73.95349,72.09302,60.930233,33.95349,55.949357,-3.193708
2017-03-12T11:46:10,73.95349,72.09302,60.930233,33.95349,55.949357,-3.193708
2017-03-12T11:46:10,73.95349,72.09302,60.930233,33.95349,55.949357,-3.193708
2017-03-12T11:46:10,73.95349,72.09302,60.930233,33.95349,55.949357,-3.193708
2017-03-12T11:46:10,73.95349,72.09302,60.930233,33.95349,55.949357,-3.193708
2017-03-12T11:46:11,77.67442,73.95349,61.39535,35.34884,,
2017-03-12T11:46:11,77.67442,73.95349,61.39535,35.34884,,
2017-03-12T11:46:11,77.67442,73.95349,61.39535,35.34884,,
2017-03-12T11:46:11,77.67442,73.95349,61.39535,35.34884,,
2017-03-12T11:46:11,77.67442,73.95349,61.39535,35.34884,,
2017-03-12T11:46:12,81.860466,75.34884,61.860466,31.627907,,
2017-03-12T11:46:12,81.860466,75.34884,61.860466,31.627907,,
2017-03-12T11:46:12,81.860466,75.34884,61.860466,31.627907,,
2017-03-12T11:46:12,81.860466,75.34884,61.860466,31.627907,,
2017-03-12T11:46:12,81.860466,75.34884,61.860466,31.627907,,
2017-03-12T11:46:13,81.860466,72.09302,60,25.581398,,
2017-03-12T11:46:13,81.860466,72.09302,60,25.581398,,
2017-03-12T11:46:13,81.860466,72.09302,60,25.581398,,
2017-03-12T11:46:13,81.860466,72.09302,60,25.581398,,
2017-03-12T11:46:13,81.860466,72.09302,60,25.581398,,
2017-03-12T11:46:14,74.4186,73.48837,60,22.790703,,
2017-03-12T11:46:14,74.4186,73.48837,60,22.790703,,
2017-03-12T11:46:14,74.4186,73.48837,60,22.790703,,
2017-03-12T11:46:14,74.4186,73.48837,60,22.790703,,
2017-03-12T11:46:14,74.4186,73.48837,60,22.790703,,
2017-03-12T11:46:15,68.37209,67.906975,54.418606,28.372093,,
2017-03-12T11:46:15,68.37209,67.906975,54.418606,28.372093,,
2017-03-12T11:46:15,68.37209,67.906975,54.418606,28.372093,,
2017-03-12T11:46:15,68.37209,67.906975,54.418606,28.372093,,
2017-03-12T11:46:15,68.37209,67.906975,54.418606,28.372093,,
2017-03-12T11:46:16,64.18605,63.255814,56.279068,33.95349,,
2017-03-12T11:46:16,64.18605,63.255814,56.279068,33.95349,,
2017-03-12T11:46:16,64.18605,63.255814,56.279068,33.95349,,
2017-03-12T11:46:16,64.18605,63.255814,56.279068,33.95349,,
2017-03-12T11:46:16,64.18605,63.255814,56.279068,33.95349,,
2017-03-12T11:46:17,63.255814,59.53488,55.34884,48.837208,,
2017-03-12T11:46:17,63.255814,59.53488,55.34884,48.837208,,
2017-03-12T11:46:17,63.255814,59.53488,55.34884,48.837208,,
2017-03-12T11:46:17,63.255814,59.53488,55.34884,48.837208,,
2017-03-12T11:46:17,63.255814,59.53488,55.34884,48.837208,,
2017-03-12T11:46:18,64.65116,56.744186,55.34884,55.34884,,
2017-03-12T11:46:18,64.65116,56.744186,55.34884,55.34884,,
2017-03-12T11:46:18,64.65116,56.744186,55.34884,55.34884,,
2017-03-12T11:46:18,64.65116,56.744186,55.34884,55.34884,,
2017-03-12T11:46:18,64.65116,56.744186,55.34884,55.34884,,
2017-03-12T11:46:19,65.5814,54.418606,54.88372,57.67442,,
2017-03-12T11:46:19,65.5814,54.418606,54.88372,57.67442,,
2017-03-12T11:46:19,65.5814,54.418606,54.88372,57.67442,,
2017-03-12T11:46:19,65.5814,54.418606,54.88372,57.67442,,
2017-03-12T11:46:19,65.5814,54.418606,54.88372,57.67442,,
2017-03-12T11:46:20,65.5814,52.55814,57.2093,66.04651,,
2017-03-12T11:46:20,65.5814,52.55814,57.2093,66.04651,,
2017-03-12T11:46:20,65.5814,52.55814,57.2093,66.04651,,
2017-03-12T11:46:20,65.5814,52.55814,57.2093,66.04651,,
2017-03-12T11:46:20,65.5814,52.55814,57.2093,66.04651,,
2017-03-12T11:46:21,68.37209,50.697674,54.418606,60,,
2017-03-12T11:46:21,68.37209,50.697674,54.418606,60,,
2017-03-12T11:46:21,68.37209,50.697674,54.418606,60,,
2017-03-12T11:46:21,68.37209,50.697674,54.418606,60,,
2017-03-12T11:46:21,68.37209,50.697674,54.418606,60,,
